score,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18
13.780303525428653,WSH,DEN,LAC,PHI,GB,LAR,CIN,DAL,ARI,KC,BUF,MIA,MIN,TEN,NO,BAL,TB,IND
13.76967398247405,WSH,LAR,LAC,PHI,NE,GB,CIN,DAL,KC,NYG,BUF,MIA,MIN,TEN,NO,BAL,TB,IND
13.767946946232357,TEN,LAR,LAC,PHI,TB,GB,CIN,DAL,ARI,NYG,BAL,MIA,MIN,BUF,NO,KC,SEA,IND
13.76406075510263,TEN,LAR,LAC,PHI,NE,GB,CIN,DEN,KC,NYG,BUF,MIA,MIN,DAL,NO,BAL,TB,IND
13.7629801730793,WSH,LAR,LAC,PHI,MIN,GB,CIN,DEN,BUF,KC,BAL,MIA,CLE,DAL,NO,TEN,TB,IND
13.755682820233183,IND,LAR,LAC,PHI,TB,GB,DEN,DAL,CIN,KC,NE,WSH,MIN,BUF,NO,TEN,BAL,MIA
13.74642059250928,WSH,LAR,LAC,PHI,KC,GB,CIN,DAL,ARI,NYG,BUF,MIA,MIN,TEN,NO,BAL,TB,IND
13.742518623232476,WSH,DEN,LAC,PHI,MIN,GB,OAK,DAL,CIN,NYG,BUF,MIA,LAR,TEN,NO,KC,TB,IND
13.738351859167015,TEN,LAR,LAC,PHI,TB,GB,CIN,DEN,BUF,NYG,BAL,MIA,MIN,DAL,NO,KC,SEA,IND
13.708820556838885,TEN,DEN,LAC,PHI,TB,GB,CIN,DAL,BUF,KC,NE,MIA,MIN,LAR,NO,BAL,SEA,IND
13.708053529467621,IND,LAR,LAC,PHI,TB,GB,OAK,DEN,CIN,KC,BUF,WSH,MIN,DAL,NO,TEN,BAL,MIA
13.707843188360796,TEN,LAR,LAC,PHI,MIN,GB,CIN,DAL,ARI,NYG,BAL,MIA,CLE,BUF,NO,KC,TB,IND
13.703805264430605,TEN,SF,LAC,PHI,MIN,GB,OAK,DEN,CIN,NYG,BUF,MIA,LAR,DAL,NO,KC,TB,IND
13.702456588819496,TEN,DEN,LAC,PHI,NO,LAR,CIN,DAL,GB,KC,NE,MIA,MIN,BUF,WSH,BAL,TB,IND
13.68927151509532,TEN,DEN,LAC,PHI,NE,GB,CIN,MIN,KC,NYG,BUF,MIA,LAR,DAL,NO,BAL,TB,IND
13.679026729798746,WSH,LAR,LAC,PHI,MIN,GB,CIN,DAL,KC,NYG,BUF,MIA,CLE,TEN,NO,BAL,TB,IND
13.676964907760143,TEN,DEN,MIN,PHI,TB,GB,CIN,NE,LAC,KC,BUF,MIA,LAR,DAL,NO,BAL,SEA,IND
13.670893625044618,TEN,LAR,LAC,PHI,MIN,GB,OAK,DEN,CIN,NYG,BUF,MIA,CLE,DAL,NO,KC,TB,IND
13.655174946026928,TEN,DEN,LAC,PHI,NE,GB,OAK,DAL,CIN,NYG,BUF,MIA,MIN,LAR,NO,KC,TB,IND
13.649948500263172,TEN,LAR,SEA,PHI,NE,GB,CIN,DEN,LAC,NYG,BUF,MIA,MIN,DAL,NO,KC,TB,IND
13.637944907646498,TEN,LAR,LAC,PHI,GB,IND,CIN,DAL,ARI,NYG,BAL,WSH,MIN,BUF,NO,KC,TB,MIA
13.637476626533964,WSH,DEN,SEA,PHI,BUF,GB,CIN,DAL,LAC,KC,BAL,MIA,MIN,LAR,NO,TEN,TB,IND
13.634881418607348,WSH,GB,LAC,PHI,MIN,IND,OAK,DEN,CIN,KC,BUF,DAL,LAR,TEN,NO,BAL,TB,MIA
13.616922055963013,TEN,LAR,LAC,PHI,MIN,GB,DEN,DAL,CIN,TB,BAL,MIA,CLE,BUF,NO,KC,SEA,IND
13.591967904870943,WSH,DEN,MIN,PHI,BUF,LAR,CIN,IND,LAC,KC,BAL,MIA,CLE,DAL,NO,TEN,TB,GB
13.571645647833563,WSH,LAR,SEA,PHI,BUF,GB,CIN,DAL,LAC,KC,BAL,MIA,CLE,TEN,NO,MIN,TB,IND
13.548094620677594,TEN,DEN,LAC,PHI,MIN,SF,CIN,DAL,GB,KC,BAL,MIA,LAR,BUF,NO,CLE,TB,IND
13.547863645905569,WSH,LAR,LAC,PHI,GB,IND,OAK,DEN,CIN,NYG,BUF,DAL,MIN,TEN,NO,KC,TB,MIA
13.92328653714315,WSH,LAR,LAC,PHI,NE,GB,DEN,DAL,CIN,KC,BAL,MIA,MIN,BUF,NO,TEN,TB,IND
13.885204517166354,WSH,LAR,LAC,PHI,TB,GB,DEN,DAL,CIN,KC,NE,MIA,MIN,BUF,NO,TEN,BAL,IND
13.884845599920427,TEN,LAR,LAC,PHI,TB,GB,DEN,DAL,CIN,KC,NE,MIA,MIN,BUF,NO,BAL,SEA,IND
13.883436491099491,WSH,DEN,LAC,PHI,MIN,GB,OAK,DAL,CIN,KC,BAL,MIA,LAR,BUF,NO,TEN,TB,IND
13.858044100711078,WSH,LAR,LAC,PHI,TB,GB,DEN,DAL,CIN,KC,BUF,MIA,MIN,TEN,NO,BAL,SEA,IND
13.838554465359303,TEN,LAR,LAC,PHI,NE,GB,DEN,DAL,CIN,NYG,BAL,MIA,MIN,BUF,NO,KC,TB,IND
13.837216309154865,TEN,LAR,LAC,PHI,TB,GB,OAK,DEN,CIN,KC,BUF,MIA,MIN,DAL,NO,BAL,SEA,IND
13.830851982225504,WSH,SF,LAC,PHI,MIN,GB,DEN,DAL,CIN,KC,BUF,MIA,LAR,TEN,NO,BAL,TB,IND
13.830585475545298,WSH,LAR,LAC,PHI,BUF,GB,CIN,DEN,ARI,KC,BAL,MIA,MIN,DAL,NO,TEN,TB,IND
13.826707728848175,WSH,DEN,LAC,PHI,MIN,GB,CIN,DAL,BUF,KC,NE,MIA,LAR,TEN,NO,BAL,TB,IND
13.821183558460811,WSH,LAR,LAC,PHI,KC,GB,DEN,DAL,CIN,NYG,BAL,MIA,MIN,BUF,NO,TEN,TB,IND
13.820799715903298,WSH,LAR,LAC,PHI,TB,GB,CIN,DAL,BUF,KC,NE,MIA,MIN,TEN,NO,BAL,SEA,IND
13.80801097055556,TEN,LAR,LAC,PHI,TB,GB,DEN,DAL,CIN,NYG,BAL,MIA,MIN,BUF,NO,KC,SEA,IND
13.804372924102378,WSH,LAR,LAC,PHI,NE,GB,CIN,DAL,KC,NYG,BAL,MIA,MIN,BUF,NO,TEN,TB,IND
13.798704419315644,TEN,DEN,LAC,PHI,MIN,GB,OAK,DAL,CIN,NYG,BAL,MIA,LAR,BUF,NO,KC,TB,IND
13.78312316494408,WSH,DEN,LAC,PHI,GB,LAR,CIN,DAL,BUF,KC,NE,MIA,MIN,TEN,NO,BAL,TB,IND
13.782368669276135,WSH,LAR,LAC,PHI,NE,GB,DEN,DAL,CIN,NYG,BUF,MIA,MIN,TEN,NO,KC,TB,IND
13.781119534137607,WSH,LAR,LAC,PHI,KC,GB,CIN,DAL,ARI,NYG,BAL,MIA,MIN,BUF,NO,TEN,TB,IND
13.773222091718628,TEN,LAR,LAC,PHI,KC,GB,CIN,DAL,ARI,NYG,NE,MIA,MIN,BUF,NO,BAL,TB,IND
13.76967398247405,WSH,LAR,LAC,PHI,NE,GB,CIN,DAL,KC,NYG,BUF,MIA,MIN,TEN,NO,BAL,TB,IND
13.768895353970757,TEN,LAR,LAC,PHI,NE,GB,CIN,DEN,BUF,NYG,BAL,MIA,MIN,DAL,NO,KC,TB,IND
13.739130487670305,WSH,LAR,LAC,PHI,TB,GB,CIN,DAL,KC,NYG,BUF,MIA,MIN,TEN,NO,BAL,SEA,IND
13.71332372746214,WSH,SF,LAC,PHI,TB,GB,DEN,DAL,CIN,KC,BUF,MIA,MIN,LAR,NO,TEN,BAL,IND
13.711747523717762,TEN,LAR,SEA,PHI,NE,GB,CIN,DAL,LAC,NYG,BAL,MIA,MIN,BUF,NO,KC,TB,IND
13.708820556838885,TEN,DEN,LAC,PHI,TB,GB,CIN,DAL,BUF,KC,NE,MIA,MIN,LAR,NO,BAL,SEA,IND
13.693560608110316,WSH,DEN,SEA,PHI,GB,LAR,CIN,DAL,LAC,KC,BUF,MIA,MIN,TEN,NO,BAL,TB,IND
13.68927151509532,TEN,DEN,LAC,PHI,NE,GB,CIN,MIN,KC,NYG,BUF,MIA,LAR,DAL,NO,BAL,TB,IND
13.682364810430595,TEN,LAR,LAC,PHI,GB,IND,CIN,DEN,ARI,KC,BUF,WSH,MIN,DAL,NO,BAL,TB,MIA
13.678248101295454,TEN,LAR,LAC,PHI,MIN,GB,CIN,DEN,BUF,NYG,BAL,MIA,CLE,DAL,NO,KC,TB,IND
13.670974304261263,TEN,LAR,LAC,PHI,NO,GB,CIN,DEN,BUF,NYG,BAL,MIA,MIN,DAL,WSH,KC,TB,IND
13.659290893583277,TEN,DEN,LAC,PHI,KC,GB,OAK,DAL,CIN,NYG,BUF,MIA,MIN,LAR,NO,BAL,TB,IND
13.659086937537506,WSH,DEN,LAC,PHI,TB,GB,CIN,MIN,KC,NYG,BUF,MIA,LAR,DAL,NO,TEN,BAL,IND
13.656614241386306,WSH,DEN,LAC,PHI,MIN,GB,CIN,DAL,BUF,KC,BAL,MIA,CLE,LAR,NO,TEN,TB,IND
