Score,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1406,WAS,DEN,DAL,PHI,CIN,MIA,SEA,BUF,CLV,LAC,SF,JAX,NYJ,BLT,PIT,KC,NYG,NO
1406,SEA,NYG,DAL,SF,CIN,JAX,PIT,BUF,CLV,LAC,MIA,DET,NYJ,BLT,TEN,KC,PHI,NO
1406,WAS,BUF,DAL,SF,PHI,MIA,SEA,BLT,CLV,CIN,LAC,JAX,PIT,NYJ,TEN,KC,NYG,NO
1406,BLT,NYG,DAL,SF,DET,JAX,SEA,BUF,CLV,LAC,MIA,TEN,NYJ,CIN,PIT,KC,PHI,NO
1406,BLT,NYG,CIN,LAC,PHI,MIA,SEA,BUF,CLV,NE,SF,DAL,PIT,NYJ,TEN,KC,JAX,NO
1406,WAS,BUF,DAL,PHI,CIN,JAX,SEA,BLT,NE,LAC,MIA,NO,PIT,NYJ,CLV,KC,NYG,SF
1406,WAS,NYG,BLT,LAC,CIN,JAX,SEA,BUF,CLV,PIT,SF,DAL,NYJ,MIA,TEN,KC,PHI,NO
1406,BLT,NYG,DAL,LAC,DET,JAX,SEA,BUF,CLV,CIN,MIA,NO,PIT,NYJ,TEN,KC,PHI,SF
1405,WAS,BUF,JAX,SF,PHI,LAR,SEA,LAC,CLV,CIN,MIA,DAL,NYJ,BLT,PIT,KC,NYG,NO
1405,WAS,BUF,DAL,SF,PHI,LAR,SEA,BLT,CLV,CIN,MIA,JAX,PIT,NYJ,LAC,KC,NYG,NO
1405,WAS,BUF,CIN,LAC,PHI,JAX,SEA,DAL,CLV,PIT,MIA,TEN,NYJ,BLT,GB,KC,NYG,SF
1405,BLT,SF,CIN,LAC,PHI,JAX,SEA,BUF,CLV,NE,MIA,DAL,PIT,NYJ,TEN,KC,NYG,NO
1405,BLT,DEN,DAL,SF,PHI,JAX,SEA,BUF,CLV,LAC,MIA,KC,PIT,CIN,TEN,NYJ,NYG,NO
1405,WAS,NYG,DAL,SF,MIA,JAX,SEA,BUF,CLV,CIN,LAC,KC,PIT,BLT,TEN,NYJ,PHI,NO
1404,SEA,NYG,DAL,SF,CIN,JAX,PIT,BUF,NE,LAC,MIA,TEN,NYJ,BLT,CLV,KC,PHI,NO
1404,WAS,BUF,DAL,PHI,DET,JAX,SEA,LAC,CLV,CIN,MIA,NO,NYJ,BLT,PIT,KC,NYG,SF
1404,WAS,BUF,DAL,PHI,CIN,JAX,SEA,LAC,NE,PIT,MIA,NO,NYJ,BLT,CLV,KC,NYG,SF
1404,BLT,BUF,DET,LAC,CIN,JAX,SEA,DAL,CLV,NE,MIA,NO,PIT,NYJ,TEN,KC,PHI,SF
1404,WAS,NYG,CIN,LAC,PHI,JAX,SEA,BUF,NE,PIT,MIA,DAL,NYJ,BLT,CLV,KC,NO,SF
1404,SEA,DEN,CIN,SF,PHI,JAX,PIT,BUF,CLV,LAC,MIA,DAL,NYJ,BLT,TEN,KC,NYG,NO
1404,WAS,NYG,DAL,SF,DET,BUF,SEA,BLT,CLV,CIN,MIA,JAX,PIT,NYJ,LAC,KC,PHI,NO
1404,BLT,DEN,CIN,LAC,PHI,JAX,SEA,BUF,CLV,NE,SF,DAL,NYJ,MIA,PIT,KC,NYG,NO
1403,WAS,BUF,JAX,PHI,CIN,MIA,SEA,DAL,CLV,NE,LAC,NO,NYJ,BLT,PIT,KC,NYG,SF
1403,MIN,BUF,DAL,SF,CIN,JAX,SEA,BLT,CLV,LAC,MIA,TEN,NYJ,NYG,PIT,KC,PHI,NO
1403,WAS,BUF,DAL,SF,PHI,MIA,SEA,BLT,CLV,CIN,DET,JAX,PIT,NYJ,LAC,KC,NYG,NO
1403,WAS,NYG,DAL,SF,CIN,LAR,SEA,BLT,CLV,BUF,MIA,JAX,PIT,NYJ,LAC,KC,PHI,NO
1403,BLT,NYG,JAX,SF,CIN,MIA,SEA,BUF,CLV,LAC,DET,DAL,PIT,NYJ,TEN,KC,PHI,NO
