score,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12
974,WAS,NYG,DAL,SF,PHI,BUF,SEA,BLT,CLV,CIN,MIA,KC
973,BLT,NYG,CIN,SF,PHI,KC,SEA,BUF,CLV,LAC,MIA,DAL
972,BLT,PHI,DAL,SF,CIN,MIA,SEA,BUF,CLV,NYJ,LAC,KC
972,BLT,PHI,DAL,LAC,CIN,MIA,SEA,BUF,CLV,NYJ,SF,KC
972,BLT,NYG,CIN,SF,PHI,MIA,SEA,BUF,CLV,LAC,DAL,KC
972,WAS,BUF,DAL,SF,CIN,JAX,SEA,BLT,CLV,LAC,MIA,KC
971,BLT,NYG,CIN,SF,PHI,JAX,SEA,DAL,CLV,BUF,MIA,KC
971,KC,NYG,CIN,SF,PHI,JAX,SEA,BUF,CLV,LAC,MIA,DAL
970,BLT,BUF,JAX,PHI,CIN,MIA,SEA,DAL,CLV,LAC,SF,KC
969,BLT,NYG,CIN,LAC,PHI,MIA,SEA,DAL,CLV,BUF,SF,KC
969,WAS,PHI,DAL,SF,CIN,BUF,SEA,BLT,CLV,LAC,MIA,KC
969,WAS,SF,DAL,LAC,PHI,BUF,SEA,BLT,CLV,CIN,MIA,KC
969,BLT,PHI,DAL,SF,CIN,BUF,SEA,LAC,CLV,NYJ,MIA,KC
969,BLT,BUF,CIN,NO,PHI,MIA,SEA,DAL,CLV,LAC,SF,KC
968,BLT,NYG,CIN,LAC,PHI,MIA,SEA,BUF,CLV,NYJ,SF,DAL
968,SEA,BUF,CIN,SF,PHI,KC,PIT,BLT,CLV,LAC,MIA,DAL
968,BLT,NYG,CIN,SF,PHI,MIA,SEA,BUF,CLV,NYJ,LAC,DAL
968,KC,NYG,CIN,SF,PHI,MIA,SEA,BUF,CLV,NYJ,LAC,DAL
967,SEA,BUF,CIN,SF,PHI,MIA,PIT,BLT,CLV,LAC,DAL,KC
967,WAS,NYG,DAL,PHI,CIN,MIA,SEA,BLT,CLV,BUF,SF,KC
967,BLT,SF,CIN,LAC,PHI,KC,SEA,BUF,CLV,NYJ,MIA,DAL
966,KC,SF,CIN,LAC,PHI,JAX,SEA,BLT,CLV,BUF,MIA,DAL
966,WAS,PHI,DAL,SF,CIN,JAX,SEA,BLT,CLV,BUF,MIA,KC
966,BLT,BUF,CIN,PHI,MIA,JAX,SEA,DAL,CLV,LAC,SF,KC
964,WAS,PHI,BLT,SF,CIN,KC,SEA,BUF,CLV,LAC,MIA,DAL
964,BLT,BUF,PHI,LAC,MIA,JAX,SEA,DAL,CLV,CIN,SF,KC
964,KC,BUF,DAL,SF,CIN,JAX,SEA,BLT,CLV,LAC,MIA,NO
964,KC,BUF,DAL,SF,CIN,JAX,SEA,BLT,CLV,LAC,MIA,TEN
964,SEA,PHI,DAL,SF,CIN,BUF,PIT,BLT,CLV,LAC,MIA,KC
964,WAS,PHI,DAL,SF,CIN,MIA,SEA,BLT,CLV,BUF,LAC,KC
963,BLT,PHI,DAL,LAC,MIA,JAX,SEA,BUF,CLV,CIN,SF,KC
963,KC,BUF,CIN,SF,PHI,JAX,SEA,DAL,CLV,LAC,MIA,TEN
962,BLT,PHI,DAL,SF,CIN,MIA,PIT,BUF,CLV,LAC,SEA,KC
961,BLT,PHI,DAL,SF,DET,MIA,SEA,BUF,CLV,CIN,LAC,KC
959,SEA,PHI,DAL,SF,CIN,MIA,PIT,BLT,CLV,BUF,LAC,KC
959,SEA,SF,BLT,LAC,PHI,KC,PIT,BUF,CLV,CIN,MIA,DAL
959,WAS,SF,CIN,LAC,PHI,KC,SEA,BLT,CLV,BUF,MIA,DAL
959,WAS,BUF,DAL,SF,CIN,MIA,PIT,BLT,CLV,LAC,SEA,KC
958,KC,PHI,DAL,SF,CIN,JAX,SEA,BUF,CLV,LAC,MIA,NO
958,SEA,NYG,CIN,SF,PHI,MIA,PIT,BLT,CLV,BUF,DAL,KC
958,KC,BUF,DAL,PHI,MIA,JAX,SEA,BLT,CLV,CIN,SF,TEN
958,WAS,BUF,PHI,SF,MIA,JAX,SEA,BLT,CLV,CIN,DAL,KC
958,BLT,BUF,CIN,SF,PHI,MIA,PIT,LAC,CLV,NYJ,SEA,DAL
958,BLT,BUF,JAX,PHI,DET,MIA,SEA,DAL,CLV,CIN,SF,KC
958,BLT,PHI,JAX,SF,CIN,MIA,SEA,DAL,CLV,BUF,LAC,KC
958,KC,PHI,JAX,SF,CIN,MIA,SEA,BLT,CLV,BUF,LAC,DAL
957,WAS,PHI,DAL,SF,MIA,BUF,SEA,BLT,CLV,CIN,LAC,KC
957,WAS,PHI,DAL,SF,DET,BUF,SEA,BLT,CLV,CIN,MIA,KC
